arxiv_id,title,subjects,month,period
2407.06006,Heisenberg-limited Bayesian phase estimation with low-depth digital quantum circuits,Quantum Physics (quant-ph),2024-07,PREVIOUS
2407.01522,A diagrammatic language for the Causaloid framework,Quantum Physics (quant-ph) ; General Relativity and Quantum Cosmology (gr-qc),2024-07,PREVIOUS
2407.14195,Optimized surface ion trap design for tight confinement and separation of ion chains,Quantum Physics (quant-ph) ; Atomic Physics (physics.atom-ph),2024-07,PREVIOUS
2408.10801,Solving an Industrially Relevant Quantum Chemistry Problem on Quantum Hardware,Quantum Physics (quant-ph),2024-08,PREVIOUS
2408.09922,Realization of Landau-Zener Rabi Oscillations on optical lattice clock,Quantum Physics (quant-ph) ; Atomic Physics (physics.atom-ph),2024-08,PREVIOUS
2409.06326,Steady-state entanglement scaling in open quantum systems: A comparison between several master equations,Quantum Physics (quant-ph) ; Statistical Mechanics (cond-mat.stat-mech),2024-09,PREVIOUS
2409.04863,High purity two-dimensional levitated mechanical oscillator,Quantum Physics (quant-ph),2024-09,PREVIOUS
2410.11257,Pole and zero edge state invariant for 1D non-Hermitian sublattice symmetry,Mesoscale and Nanoscale Physics (cond-mat.mes-hall) ; Quantum Physics (quant-ph),2024-10,PREVIOUS
2410.04169,Quantum Calculus of Fibonacci Divisors and Fermion-Boson Entanglement for Infinite Hierarchy of N = 2 Supersymmetric Golden Oscillators,Quantum Physics (quant-ph),2024-10,PREVIOUS
2411.19684,Quantum computing architecture with Rydberg gates in trapped ions,Quantum Physics (quant-ph),2024-11,PREVIOUS
2411.02166,Generation of high-fidelity Greenberger-Horne-Zeilinger states in a driven hybrid quantum system,Quantum Physics (quant-ph),2024-11,PREVIOUS
2412.01851,Generalized Loschmidt echo and information scrambling in open systems,Quantum Physics (quant-ph) ; Disordered Systems and Neural Networks (cond-mat.dis-nn); Quantum Gases (cond-mat.quant-gas); Statistical Mechanics (cond-mat.stat-mech); Strongly Correlated Electrons (cond-mat.str-el),2024-12,PREVIOUS
2412.04701,Engineering qubit dynamics in open systems with photonic synthetic lattices,Quantum Physics (quant-ph) ; Optics (physics.optics),2024-12,PREVIOUS
2501.12018,Cluster property and Bell's inequalities,Quantum Physics (quant-ph),2025-01,PREVIOUS
2501.12629,Entanglement dynamics in collision models and entanglement quilts,Quantum Physics (quant-ph),2025-01,PREVIOUS
2502.18236,Phonon thermal Hall as a lattice Aharonov-Bohm effect,Mesoscale and Nanoscale Physics (cond-mat.mes-hall) ; Materials Science (cond-mat.mtrl-sci); Quantum Gases (cond-mat.quant-gas); Quantum Physics (quant-ph),2025-02,PREVIOUS
2502.01767,Real-Time Scattering Processes with Continuous-Variable Quantum Computers,Quantum Physics (quant-ph) ; High Energy Physics - Lattice (hep-lat); High Energy Physics - Phenomenology (hep-ph); High Energy Physics - Theory (hep-th),2025-02,PREVIOUS
